,ref_de,orig_en,trans_de
32,"Obgleich die Europäische Union selbstverständlich nicht für Guantánamo verantwortlich ist, könnte sie diesen Personen jedoch aus menschlichem Mitleid eine Lösung bieten.","Although the European Union is, of course, not responsible for Guantanamo, it could offer those people a solution, out of human compassion.","Obwohl die Europäische Union natürlich nicht für Guantanamo verantwortlich ist, könnte sie diesen Menschen aus menschlichem Mitgefühl eine Lösung anbieten."
33,"Mittel aus den Strukturfonds können wegen der De-minimis-Regel nicht in Anspruch genommen werden, d. h. ohne Genehmigung der Europäischen Kommission dürfen staatliche Beihilfen für ein und denselben Begünstigten in einem Zeitraum von drei Jahren 200 000 Euro (etwa 6,8 Millionen slowakische Kronen) nicht übersteigen.","It is not possible to get money from the Structural Funds because of the de minimis rule. Under this condition, without the approval of the European Commission, a single beneficiary is not allowed to receive from the State a grant exceeding EUR 200 000 (approximately 6.8 million Slovak crowns) over a three-year period.","Es ist aufgrund der De-minimis-Regel nicht möglich, Geld aus den Strukturfonds zu erhalten. Unter dieser Bedingung darf ohne Zustimmung der Europäischen Kommission ein einzelner Begünstigter innerhalb eines Zeitraums von drei Jahren keinen Zuschuss vom Staat erhalten, der 200.000 Euro (etwa 6,8 Millionen slowakische Kronen) überschreitet."
34,"Wir stützen ihn auf die Rechtsgrundlage, die uns am vernünftigsten erscheint.",We chose what seemed to us to be the most logical legal basis.,Wir wählten die für uns logischste rechtliche Grundlage.
35,"Im Ausschuss für Verkehr und Fremdenverkehr wurden zwar einige Abänderungen vorgeschlagen, in denen ein Aufschub bis 2010 gefordert wurde, da sich bekanntlich die Ratifizierungsverfahren in den verschiedenen Mitgliedstaaten voneinander unterscheiden und unserer Ansicht nach eine angemessene Frist für die gründliche Vorbereitung eines solchen Ratifizierungsverfahrens eingeräumt werden sollte.","In the Committee on Transport and Tourism, we had amendments for deferral to 2010, because we know that there is not the same type of ratification in the various Member States and we believe that it would be possible for sufficient time to be allowed to prepare such ratification properly.","Im Ausschuss für Verkehr und Fremdenverkehr hatten wir Änderungsanträge für eine Verschiebung auf 2010, da wir wissen, dass es in den verschiedenen Mitgliedstaaten nicht die gleiche Art der Ratifizierung gibt, und wir glauben, dass es möglich wäre, genügend Zeit für eine ordnungsgemäße Vorbereitung dieser Ratifizierung einzuräumen."
36,Die andere Sorge betrifft die Verrechnungspreise.,The other concern is transfer pricing.,Die andere Sorge ist Verrechnungspreise.
37,"Marco Suzano z. B., ist einer der besten Perkussionisten der Aktualität, der mit einem Tamburin Wunder vollbringt.","Unfortunately, Brazilians do not know their best exponents, because their songs are more sophisticated and less popular.","Leider kennen die Brasilianer ihre besten Vertreter nicht, weil deren Lieder anspruchsvoller und weniger populär sind."
38,"Übrigens ist es meine Absicht, weiterhin Transparenz zu wahren.",My intention is also to continue to be transparent.,"Meine Absicht ist es auch, weiterhin transparent zu sein."
39,"Die Verbraucher sehen nicht nur deshalb von Eigenheim- und Autokäufen ab, weil ihnen fallende Aktienkurse und Häuserpreise Vermögensverluste beschert haben, sondern weil sie nicht wissen, wohin sie sich wenden sollen.","Consumers are pulling back from home and automobile purchases not only because they have suffered a blow to their wealth with declining stock prices and housing values, but also because they don’t know where to turn.","Die Verbraucher ziehen sich von Haus- und Autokäufen zurück, nicht nur, weil sie durch sinkende Aktienkurse und Immobilienwerte einen Verlust an Vermögen erlitten haben, sondern auch, weil sie nicht wissen, an wen sie sich wenden sollen."
40,"Herr Alavanos, darauf kann ich gleich antworten.","Mr Alavanos, I shall answer you straightaway.","Herr Alavanos, ich werde Ihnen sofort antworten."
41,"Im Rahmen der Partnerschaft zwischen der Europäischen Union und den Mittelmeerländern ist es richtig, daß Partnerschaften einer neuen Generation insbesondere mit diesen beiden Ländern ins Leben gerufen wurden. Das Problem besteht jedoch darin, im Rahmen der von der Kommission für die kommenden Jahre vorgesehenen Finanzmittel ein angemessenes Gleichgewicht in bezug auf die für Tunesien und Marokko nützlichen Eingriffe zu finden.","As part of the Euro-Mediterranean initiative, new partnership styles have rightly been adopted with these two countries, but the problem which arises is how, within the financial spending limits provided for in the next few years by the Commission, to achieve an equitable balance as regards interventions benefiting Tunisia and Morocco.","Im Rahmen der euro-mediterranen Initiative wurden zu Recht neue Partnerschaftsmodelle mit diesen beiden Ländern eingeführt. Das Problem, das sich jedoch stellt, ist, wie man innerhalb der von der Kommission für die nächsten Jahre vorgesehenen finanziellen Ausgabelimits ein gerechtes Gleichgewicht in Bezug auf Maßnahmen, die Tunesien und Marokko zugutekommen, erreichen kann."
42,"Dieser Bericht enthält einige Fragen und Antworten über Kauf, Lizenz, Upgrade, Download, Installation und Registration unserer Produkte.","This chapter contains answers to some general questions about ordering, licensing, upgrading, downloading, installation and registration of our products.","Dieses Kapitel enthält Antworten auf einige allgemeine Fragen zu Bestellung, Lizenzierung, Aktualisierung, Herunterladen, Installation und Registrierung unserer Produkte."
43,"Diese Site enthalt Unterkategorien und Seiten mit Schlusselwortern, die kontextuell, grammatisch und nach Bedeutung mit dem Schlusselwort/der Schlusselphrase verbunden sind insulation.","This page contains sub-categories and keyword pages contextually, grammatically and meaningfully related to the keyword/phrase insulation.","Diese Seite enthält Unterkategorien und Schlüsselwortseiten, die kontextuell, grammatikalisch und sinngemäß mit dem Schlüsselwort/Ausdruck Isolierung verbunden sind."
44,Lernen Sie diese fantastische Stadt kennen und erliegen Sie dem Zauber Granadas.,"Meet this fantastic city, come into their corners and feel the magical charm of Granada.","Entdecken Sie diese fantastische Stadt, tauchen Sie in ihre Winkel ein und spüren Sie den magischen Charme Granadas."
45,"Zu dieser Form von Einseitigkeit gesellt sich noch eine gefährliche Kurzsichtigkeit, denn wer sich auf einen Punkt eines Prozesses konzentriert, der komplexer Art ist und bei dem auf beiden Seiten äußerst schwierige politische Gleichgewichte zu wahren sind, der verkennt die Logik und den Gesamtzusammenhang des Prozesses sowie die Schwierigkeiten, denen der Palästinenserführer und die israelische Regierungen zu begegnen haben.","Not only that, but this one-sided view is combined with dangerous short-sightedness, because developing a fixation with one point of a complex process where there are extremely difficult political equilibria to be respected on both sides is to miss the overall logic and consistency of that process and the difficulties which have to be faced both by the Palestinian leader and by the Israeli Government.","Nicht nur das, sondern diese einseitige Sichtweise wird mit gefährlicher Kurzsichtigkeit verbunden, denn die Fixierung auf einen Punkt eines komplexen Prozesses, bei dem auf beiden Seiten äußerst schwierige politische Gleichgewichte zu wahren sind, verkennt die Gesamtlogik und Kohärenz dieses Prozesses sowie die Schwierigkeiten, denen sowohl der palästinensische Führer als auch die israelische Regierung gegenüberstehen."
46,Aber ich habe mehrere ungeklärte Fragen.,"I do, though, have a number of unanswered questions.",Ich habe jedoch eine Reihe unbeantworteter Fragen.
47,Der Ceres Business Projects & Services Tätigkeitsbereich liegt vor allem im Großraum Saar-Lor-Lux und in Belgien.,The activities of Ceres Business Projects & Services are mainly within the great region Saar-Lor-Lux and Belgium.,Die Aktivitäten von Ceres Business Projects & Services liegen hauptsächlich in der Großregion Saar-Lor-Lux und Belgien.
48,"Ja, wir haben gemäß der Empfehlung mehrerer heute eingereichter Anträge die belarussischen Behörden gewarnt, dass sie keine Änderung der Situation erwarten können, sofern sie nicht deutliche Schritte in Richtung auf die Achtung der Menschenrechte und der Demokratie und die Durchsetzung der Rechtsstaatlichkeit unternehmen.","We have indeed, as recommended in some of the motions which have been put down today, warned the Belarussian authorities that they cannot expect any change in that situation unless they take clear steps towards respect for human rights and democracy and introduction of the rule of law.","Wir haben tatsächlich, wie in einigen der heute gestellten Anträge empfohlen wurde, die belarussischen Behörden gewarnt, dass sie keine Veränderung dieser Situation erwarten können, es sei denn, sie ergreifen eindeutige Maßnahmen zur Achtung der Menschenrechte und der Demokratie sowie zur Einführung der Rechtsstaatlichkeit."
49,Entwurf eines Abkommens mit Südafrika,Draft agreement with South Africa,Entwurf eines Abkommens mit Südafrika
50,"Die Strände von Castricum, Egmond und Zandvoort sind nur 6 km entfernt.","The beaches of Castricum, Egmond en Zandvoort are only 6 kilometers away.","Die Strände von Castricum, Egmond und Zandvoort sind nur 6 Kilometer entfernt."
51,Auf dem letzten Abschnitt des Zugangsweges (Pasul Prislop - Semenic - 8 km) ist ein Höhenunterschied von 400 m zu bewältigen.,The snow cover reaches 60-80 cm in thick and it usually lasts approximately 5 month.,Die Schneedecke erreicht eine Dicke von 60-80 cm und hält normalerweise etwa 5 Monate an.
52,"Und selbst dort, wo die politischen Entscheidungsträger über präzise Zahlen verfügten, beinhalteten diese gewöhnlich nur die Todesursachen und nicht die Krankheiten, unter denen die Lebenden litten.","And even when policymakers had accurate data, it usually included only causes of death, not the illnesses that afflicted the living.","Und selbst wenn die politischen Entscheidungsträger genaue Daten hatten, enthielten diese normalerweise nur die Todesursachen und nicht die Krankheiten, die die Lebenden plagten."
53,B:Der Pardische Kollaborateur erhält +1/+1 bis zum Ende des Zuges.,{B}: Pardic Collaborator gets +1/+1 until end of turn.,{B}: Pardischer Kollaborateur erhält +1/+1 bis zum Ende des Zuges.
54,"Es ist ganz wichtig, dass wir heute hier sehr transparent feststellen, dass die vier Freiheiten zu den Grundrechten der Europäischen Union gehören. Zu den Prinzipien der Europäischen Union gehört das Diskriminierungsverbot.","It is vitally important that we should make it abundantly clear that the four freedoms are among the fundamental rights of the European Union, one of whose principles is the ban on discrimination.","Es ist von entscheidender Bedeutung, dass wir unmissverständlich klarstellen, dass die vier Freiheiten zu den Grundrechten der Europäischen Union gehören, deren eines der Prinzipien das Verbot der Diskriminierung ist."
55,"Die Insel kann man nur im Sommer besuchen, wenn Elektro- und Ruderboote auf dem See fahren können. Auf der Insel befindet sich die Mariä-Himmelfahrts-Kirche.",All-round relaxation for body and mind is provided at the Ziva Wellness Centre at the Golf Hotel and Wellness Centre Bled .,Ganzheitliche Entspannung für Körper und Geist bietet das Ziva Wellness Centre im Golf Hotel und Wellness Centre Bled.
56,"Die Europäische Union muss, wie sie dies kürzlich in Washington getan hat, regelmäßiger als bisher Gespräche mit den USA führen.","The European Union's discussions with the United States, along the lines of those held recently in Washington, must become more regular.","Die Gespräche der Europäischen Union mit den Vereinigten Staaten, ähnlich wie die kürzlich in Washington veranstalteten, müssen regelmäßiger werden."
57,"Die bei LateRooms.com für das Crowne Plaza Liverpool City Centre in Liverpool angegebenen Preise verstehen sich als Komplettpreise pro Zimmer, NICHT “pro Person”.",The LateRooms.com rates for Crowne Plaza Liverpool City Centre in Liverpool are the total price of the room and not the 'per person' rate.,Die Preise von LateRooms.com für das Crowne Plaza Liverpool City Centre in Liverpool sind der Gesamtpreis für das Zimmer und nicht der Preis 'pro Person'.
58,"Eine dieser Möglichkeiten ist es, die Medien wirtschaftlich mittels Eigentümerschaft zu monopolisieren, jedoch ist dies nicht die einzige Art und Weise.","One possibility is to monopolise the media economically through ownership, but this is not the only one.","Eine Möglichkeit ist, die Medien wirtschaftlich durch Eigentum zu monopolisieren, aber das ist nicht die einzige."
59,Das 1962 erbaute und 1999 renovierte Strandhotel verfügt auf 2 Etagen über insgesamt 64 Zimmer.,"Built in 1962, this beach hotel was renovated in 1999 and offers a total of 64 rooms, spread over 2 floors.","Erbaut im Jahr 1962, wurde dieses Strandhotel 1999 renoviert und bietet insgesamt 64 Zimmer, verteilt auf 2 Etagen."
60,"Weil der Generoso während der letzten Eiszeit über das Eismeer hinausragte, überlebte hier eine heute seltene Pflanzen- (rund 800 Arten) und Vogelwelt; ein Naturpfad widmet sich dieser Thematik.","Because the Generoso towered above the sea of ice during the last Ice Age, plants (about 800 species) which are now rare and bird life survived here. A nature trail is dedicated to this topic.","Während der letzten Eiszeit ragte der Generoso über das Eismeer hinaus, wodurch Pflanzen (etwa 800 Arten), die heute selten sind, und das Vogelleben hier überlebten. Ein Naturlehrpfad ist diesem Thema gewidmet."
61,"Aber es ist ein ganz klares Zeichen dafür, dass Terror sich ganz gezielt gegen Journalisten wendet, weil eben die Freiheit der Medien und die Freiheit der Meinungsäußerung von allen extremistischen Organisationen auf der ganzen Welt mit Recht als ihre ernsthafteste Bedrohung angesehen wird.",This clearly illustrates that journalists are the target of terrorist tactics because all extremist organisations throughout the world rightly perceive freedom of the media and freedom of opinion as their most serious threat.,"Dies zeigt deutlich, dass Journalisten das Ziel terroristischer Taktiken sind, weil alle extremistischen Organisationen weltweit die Medienfreiheit und Meinungsfreiheit zu Recht als ihre größte Bedrohung wahrnehmen."
62,"Herr Präsident, Herr Kommissar! Ebenso wie Herr Hernández Mollar - dem ich dafür danke, dass er den von mir eingereichten Änderungsantrag Nr. 15 so begeistert aufgenommen hat - bin auch ich der Auffassung, dass dieser Bericht abgelehnt werden sollte, falls die Änderungsanträge der Europäischen Volkspartei nicht übernommen werden.","Mr President, Commissioner, in company with Mr Hernández Mollar - whom I would like to thank for his enthusiastic support for Amendment No 15, tabled by myself - I feel that this document must be rejected if the European People's Party's amendments are not incorporated.","Herr Präsident, Herr Kommissar, zusammen mit Herrn Hernández Mollar - dem ich für seine begeisterte Unterstützung für den von mir eingebrachten Änderungsantrag Nr. 15 danken möchte - bin ich der Meinung, dass dieses Dokument abgelehnt werden muss, wenn die Änderungsanträge der Europäischen Volkspartei nicht berücksichtigt werden."
63,"Wenn der Zen-Praktizierende zur Auffassung kommt, dass alles im Kosmos miteinander in Verbindung steht, so bedeutet dies für ihn, dass keine real existierende absolute Grenze zwischen dem einzelnen Übenden und allen anderen Menschen besteht.","The Zen schools, like other Buddhist sects, teach the fundamental elements of Buddhist philosophy , including the Four Noble Truths , the Eightfold Path , pratitya samutpada , the five precepts , the five skandhas , and the three dharma seals : non-self , impermanence , and dukkha . Zen philosophy also includes teachings specific to Mahayana Buddhism, including the Mahayanan conception of the paramita s and the ideal of the bodhisattva 's universal salvific power.","Die Zen-Schulen lehren, ähnlich wie andere buddhistische Sekten, die grundlegenden Elemente der buddhistischen Philosophie, darunter die Vier Edlen Wahrheiten, den Achtfachen Pfad, Pratitya Samutpada, die fünf Gebote, die fünf Skandhas und die drei Dharma-Siegel: Nicht-Selbst, Vergänglichkeit und Dukkha. Die Zen-Philosophie umfasst auch Lehren, die spezifisch für den Mahayana-Buddhismus sind, einschließlich der Mahayana-Vorstellung der Paramitas und des Ideals der universellen erlösenden Kraft des Bodhisattvas."
64,Sowohl Anleger als auch börsennotierte Unternehmen agieren auf zunehmend integrierten weltweiten Kapitalmärkten.,Both investors and publicly traded firms are operating in increasingly integrated global capital markets.,Sowohl Investoren als auch börsennotierte Unternehmen agieren in zunehmend integrierten globalen Kapitalmärkten.
65,"In der Tat, die Vorliebe der deutschen Romantik für das Fremde* scheint zunächst eine Entscheidung in einem höchst praktischen Dilemma sprachlicher Übersetzung zu sein.","However, translation theory today is quite ambivalent when it comes to their concept of translation.","Die Übersetzungstheorie ist heute jedoch ziemlich ambivalent, wenn es um ihr Konzept der Übersetzung geht."
66,"In einem föderalen Europa werden nicht-französische Persönlichkeiten wichtige Posten bekleiden und auch in sensiblen Bereichen (Verteidigung, Diplomatie,…) Entscheidungen treffen, die einen großen Einfluss auf die Zukunft der Franzosen haben.","Federal Europe means that non-French leaders will have high responsibilities (Defence, Diplomacy...) with important consequences for France and the French people.","Ein föderales Europa bedeutet, dass nicht-französische Führungsfiguren hohe Verantwortlichkeiten (Verteidigung, Diplomatie...) mit bedeutenden Konsequenzen für Frankreich und das französische Volk haben werden."
67,Viele Akteure der Wirtschaft – von deutschen Autoherstellern über französische Bauern bis hin zu den Finanzzentren der EU – würden ihrer britischen Konkurrenz Hindernisse in den Weg legen wollen.,Many economic actors – from German car manufacturers to French farmers to financial centers around the EU – would want to hamper their British competitors.,Viele Wirtschaftsakteure – von deutschen Automobilherstellern über französische Landwirte bis hin zu Finanzzentren in der gesamten EU – würden ihre britischen Konkurrenten behindern wollen.
68,"Wir müssen nicht allein das Gefälle zwischen den Mitgliedstaaten verringern, sondern auch die Kluft innerhalb der Mitgliedstaaten sowie zwischen einzelnen Regionen.",Not only must the gap between Member States be decreased but we must also decrease these gaps within Member States as well as the gaps between regions.,"Nicht nur muss die Kluft zwischen den Mitgliedstaaten verringert werden, sondern wir müssen auch die Kluften innerhalb der Mitgliedstaaten sowie die Kluften zwischen den Regionen verringern."
69,"Wenn diese Erhebung bzw. Verarbeitung von Ihnen nicht eingewilligt wird, führt es nicht zu Behinderungen.",Any refusal to provide data will not give rise to any consequence except the impossibility to use the Company’s facilities and services.,"Jegliche Verweigerung der Bereitstellung von Daten führt zu keinen anderen Konsequenzen als der Unmöglichkeit, die Einrichtungen und Dienstleistungen des Unternehmens zu nutzen."
70,"Ich möchte Herrn Wibe darauf hinweisen, daß selbst gestern, als es um sehr wichtige Abstimmungen ging, von der Fraktion, der er angehört, ebenfalls keine 29 Mitglieder anwesend waren.","I would point out to Mr Wibe that even yesterday when there were some very important votes to be taken, there were not even 29 members of his group present.","Ich möchte Herrn Wibe darauf hinweisen, dass selbst gestern, als einige sehr wichtige Abstimmungen stattfanden, nicht einmal 29 Mitglieder seiner Gruppe anwesend waren."
